region,crop_category,year,sown_acres,harvested_acres,production_tons,measurement_type
Shan,Plantain,2020-21,13629,13629,13629,Production
Shan,Vegetables,2020-21,202601,202592,0,Sown
Shan,Vegetables,2020-21,202592,202592,0,Harvested
Shan,Vegetables,2020-21,0,0,0,Production
Shan,Fruits,2020-21,102310,78762,0,Sown
Shan,Fruits,2020-21,78762,78762,0,Harvested
Shan,Fruits,2020-21,0,0,0,Production
Shan,Tea,2021-22,203536,190696,0,Sown
Shan,Tea,2021-22,190696,190696,0,Harvested
Shan,Tea,2021-22,79613,79613,79613,Production
Shan,Coffee,2021-22,27101,17167,0,Sown
Shan,Coffee,2021-22,17167,17167,0,Harvested
Shan,Coffee,2021-22,5394,5394,5394,Production
Shan,Sugarcane,2021-22,158450,158450,4343822,Sown
Shan,Sugarcane,2021-22,158450,158450,4343822,Harvested
Shan,Sugarcane,2021-22,4343822,4343822,4343822,Production
Shan,Toddy_Palm,2021-22,0,0,0,Sown
Shan,Toddy_Palm,2021-22,0,0,0,Harvested
Shan,Toddy_Palm,2021-22,0,0,0,Production
Shan,Potato,2021-22,50374,50374,333080,Sown
Shan,Potato,2021-22,50374,50374,333080,Harvested
Shan,Potato,2021-22,333080,333080,333080,Production
Shan,Plantain,2021-22,19475,19279,13558,Sown
Shan,Plantain,2021-22,19279,19279,13558,Harvested
Shan,Plantain,2021-22,13558,13558,13558,Production
Shan,Vegetables,2021-22,204615,204609,0,Sown
Shan,Vegetables,2021-22,204609,204609,0,Harvested
Shan,Vegetables,2021-22,0,0,0,Production
Shan,Fruits,2021-22,99924,77836,0,Sown
Shan,Fruits,2021-22,77836,77836,0,Harvested
Shan,Fruits,2021-22,0,0,0,Production
Shan,Tea,2022-23,205119,192870,0,Sown
Shan,Tea,2022-23,192870,192870,0,Harvested
Shan,Tea,2022-23,88595,88595,88595,Production
Shan,Coffee,2022-23,26681,16360,0,Sown
Shan,Coffee,2022-23,16360,16360,0,Harvested
Shan,Coffee,2022-23,5098,5098,5098,Production
Shan,Sugarcane,2022-23,157583,157583,4353630,Sown
Shan,Sugarcane,2022-23,157583,157583,4353630,Harvested
Shan,Sugarcane,2022-23,4353630,4353630,4353630,Production
Shan,Toddy_Palm,2022-23,0,0,0,Sown
Shan,Toddy_Palm,2022-23,0,0,0,Harvested
Shan,Toddy_Palm,2022-23,0,0,0,Production
Shan,Potato,2022-23,50808,50808,339981,Sown
Shan,Potato,2022-23,50808,50808,339981,Harvested
Shan,Potato,2022-23,339981,339981,339981,Production
Shan,Plantain,2022-23,18133,17934,12495,Sown
Shan,Plantain,2022-23,17934,17934,12495,Harvested
Shan,Plantain,2022-23,12495,12495,12495,Production
Shan,Vegetables,2022-23,198538,198537,0,Sown
Shan,Vegetables,2022-23,198537,198537,0,Harvested
Shan,Vegetables,2022-23,0,0,0,Production
Shan,Fruits,2022-23,107149,81113,0,Sown
Shan,Fruits,2022-23,81113,81113,0,Harvested
Shan,Fruits,2022-23,0,0,0,Production
Shan,Tea,2023-24,206588,193096,0,Sown
Shan,Tea,2023-24,193096,193096,0,Harvested
Shan,Tea,2023-24,84123,84123,84123,Production
Shan,Coffee,2023-24,27806,17235,0,Sown
Shan,Coffee,2023-24,17235,17235,0,Harvested
Shan,Coffee,2023-24,5325,5325,5325,Production
Shan,Sugarcane,2023-24,171431,171431,4699624,Sown
Shan,Sugarcane,2023-24,171431,171431,4699624,Harvested
Shan,Sugarcane,2023-24,4699624,4699624,4699624,Production
Shan,Toddy_Palm,2023-24,0,0,0,Sown
Shan,Toddy_Palm,2023-24,0,0,0,Harvested
Shan,Toddy_Palm,2023-24,0,0,0,Production
Shan,Potato,2023-24,50912,50912,340125,Sown
Shan,Potato,2023-24,50912,50912,340125,Harvested
Shan,Potato,2023-24,340125,340125,340125,Production
Shan,Plantain,2023-24,18002,17808,12129,Sown
Shan,Plantain,2023-24,17808,17808,12129,Harvested
Shan,Plantain,2023-24,12129,12129,12129,Production
Shan,Vegetables,2023-24,198187,198187,0,Sown
Shan,Vegetables,2023-24,198187,198187,0,Harvested
Shan,Vegetables,2023-24,0,0,0,Production
Shan,Fruits,2023-24,112135,84329,0,Sown
Shan,Fruits,2023-24,84329,84329,0,Harvested
Shan,Fruits,2023-24,0,0,0,Production
Shan,Tea,2024-25,206708,194440,0,Sown
Shan,Tea,2024-25,194440,194440,0,Harvested
Shan,Tea,2024-25,82912,82912,82912,Production
Shan,Coffee,2024-25,29547,19752,0,Sown
Shan,Coffee,2024-25,19752,19752,0,Harvested
Shan,Coffee,2024-25,6100,6100,6100,Production
Shan,Sugarcane,2024-25,181636,181636,4853564,Sown
Shan,Sugarcane,2024-25,181636,181636,4853564,Harvested
Shan,Sugarcane,2024-25,4853564,4853564,4853564,Production
Shan,Toddy_Palm,2024-25,0,0,0,Sown
Shan,Toddy_Palm,2024-25,0,0,0,Harvested
Shan,Toddy_Palm,2024-25,0,0,0,Production
Shan,Potato,2024-25,51131,51131,342563,Sown
Shan,Potato,2024-25,51131,51131,342563,Harvested
Shan,Potato,2024-25,342563,342563,342563,Production
Shan,Plantain,2024-25,17947,17387,11756,Sown
Shan,Plantain,2024-25,17387,17387,11756,Harvested
Shan,Plantain,2024-25,11756,11756,11756,Production
Shan,Vegetables,2024-25,200098,199994,0,Sown
Shan,Vegetables,2024-25,199994,199994,0,Harvested
Shan,Vegetables,2024-25,0,0,0,Production
Shan,Fruits,2024-25,115228,84664,0,Sown
Shan,Fruits,2024-25,84664,84664,0,Harvested
Shan,Fruits,2024-25,0,0,0,Production
Ayeyawady,Coffee,2019-20,310,0,0,
Ayeyawady,Coffee,2020-21,310,0,0,
Ayeyawady,Coffee,2021-22,310,0,0,
Ayeyawady,Coffee,2022-23,310,0,128,
Ayeyawady,Coffee,2023-24,1163,0,104,
Ayeyawady,Coffee,2024-25,2159,0,0,
Ayeyawady,Fruits,2019-20,0,0,0,
Ayeyawady,Fruits,2020-21,0,0,0,
Ayeyawady,Fruits,2021-22,0,0,0,
Ayeyawady,Fruits,2022-23,0,0,0,
Ayeyawady,Fruits,2023-24,0,0,0,
Ayeyawady,Fruits,2024-25,0,0,0,
Ayeyawady,Plantain,2019-20,188732,188732,0,
Ayeyawady,Plantain,2020-21,190742,190707,0,
Ayeyawady,Plantain,2021-22,191155,191155,0,
Ayeyawady,Plantain,2022-23,193751,193751,0,
Ayeyawady,Plantain,2023-24,198099,198099,0,
Ayeyawady,Plantain,2024-25,244754,242576,0,
Ayeyawady,Potato,2019-20,60128,60119,80106,
Ayeyawady,Potato,2020-21,60130,60037,80152,
Ayeyawady,Potato,2021-22,60117,60107,80312,
Ayeyawady,Potato,2022-23,60117,57871,78572,
Ayeyawady,Potato,2023-24,59598,58182,78110,
Ayeyawady,Potato,2024-25,59600,57932,77683,
Ayeyawady,Sugarcane,2019-20,1291960,1291180,3051000,
Ayeyawady,Sugarcane,2020-21,1241960,1241458,3210000,
Ayeyawady,Sugarcane,2021-22,1221960,1221460,2868000,
Ayeyawady,Sugarcane,2022-23,1201978,1201368,2742000,
Ayeyawady,Sugarcane,2023-24,1201978,1201375,2816000,
Ayeyawady,Sugarcane,2024-25,11968,6796,0,
Ayeyawady,Tea,2019-20,0,0,0,
Ayeyawady,Tea,2020-21,0,0,0,
Ayeyawady,Tea,2021-22,0,0,0,
Ayeyawady,Tea,2022-23,0,0,0,
Ayeyawady,Tea,2023-24,0,0,0,
Ayeyawady,Tea,2024-25,0,0,0,
Ayeyawady,Toddy_Palm,2019-20,0,0,5444,
Ayeyawady,Toddy_Palm,2020-21,0,0,6949,
Ayeyawady,Toddy_Palm,2021-22,0,0,6959,
Ayeyawady,Toddy_Palm,2022-23,0,0,6567,
Ayeyawady,Toddy_Palm,2023-24,0,0,6583,
Ayeyawady,Toddy_Palm,2024-25,0,0,0,
Ayeyawady,Vegetables,2019-20,223571,194935,0,
Ayeyawady,Vegetables,2020-21,223571,196032,0,
Ayeyawady,Vegetables,2021-22,223680,190864,0,
Ayeyawady,Vegetables,2022-23,223697,190764,0,
Ayeyawady,Vegetables,2023-24,223697,192248,0,
Ayeyawady,Vegetables,2024-25,223697,196014,0,
Sagaing,Tea,2019-20,0,0,0,
Sagaing,Tea,2020-21,0,0,0,
Sagaing,Tea,2021-22,0,0,0,
Sagaing,Tea,2022-23,0,0,0,
Sagaing,Tea,2023-24,0,0,0,
Sagaing,Tea,2024-25,0,0,0,
Sagaing,Coffee,2019-20,0,0,0,
Sagaing,Coffee,2020-21,0,0,0,
Sagaing,Coffee,2021-22,0,0,0,
Sagaing,Coffee,2022-23,0,0,0,
Sagaing,Coffee,2023-24,0,0,0,
Sagaing,Coffee,2024-25,0,0,0,
Sagaing,Sugarcane,2019-20,80000,80000,2000000,
Sagaing,Sugarcane,2020-21,82000,82000,2050000,
Sagaing,Sugarcane,2021-22,81000,81000,2020000,
Sagaing,Sugarcane,2022-23,83000,83000,2080000,
Sagaing,Sugarcane,2023-24,85000,85000,2120000,
Sagaing,Sugarcane,2024-25,86000,86000,2150000,
Sagaing,Toddy_Palm,2019-20,0,0,0,
Sagaing,Toddy_Palm,2020-21,0,0,0,
Sagaing,Toddy_Palm,2021-22,0,0,0,
Sagaing,Toddy_Palm,2022-23,0,0,0,
Sagaing,Toddy_Palm,2023-24,0,0,0,
Sagaing,Toddy_Palm,2024-25,0,0,0,
Sagaing,Potato,2019-20,5000,5000,35000,
Sagaing,Potato,2020-21,5100,5100,35700,
Sagaing,Potato,2021-22,5050,5050,35350,
Sagaing,Potato,2022-23,5150,5150,36050,
Sagaing,Potato,2023-24,5200,5200,36400,
Sagaing,Potato,2024-25,5250,5250,36750,
Sagaing,Plantain,2019-20,10000,10000,15000,
Sagaing,Plantain,2020-21,10200,10200,15300,
Sagaing,Plantain,2021-22,10100,10100,15150,
Sagaing,Plantain,2022-23,10300,10300,15450,
Sagaing,Plantain,2023-24,10400,10400,15600,
Sagaing,Plantain,2024-25,10500,10500,15750,
Sagaing,Vegetables,2019-20,120000,120000,0,
Sagaing,Vegetables,2020-21,122000,122000,0,
Sagaing,Vegetables,2021-22,121000,121000,0,
Sagaing,Vegetables,2022-23,123000,123000,0,
Sagaing,Vegetables,2023-24,124000,124000,0,
Sagaing,Vegetables,2024-25,125000,125000,0,
Sagaing,Fruits,2019-20,45000,45000,0,
Sagaing,Fruits,2020-21,46000,46000,0,
Sagaing,Fruits,2021-22,45500,45500,0,
Sagaing,Fruits,2022-23,46500,46500,0,
Sagaing,Fruits,2023-24,47000,47000,0,
Sagaing,Fruits,2024-25,47500,47500,0,
Magway,Tea,2019-20,0,0,0,
Magway,Tea,2020-21,0,0,0,
Magway,Tea,2021-22,0,0,0,
Magway,Tea,2022-23,0,0,0,
Magway,Tea,2023-24,0,0,0,
Magway,Tea,2024-25,0,0,0,
Magway,Coffee,2019-20,0,0,0,
Magway,Coffee,2020-21,0,0,0,
Magway,Coffee,2021-22,0,0,0,
Magway,Coffee,2022-23,0,0,0,
Magway,Coffee,2023-24,0,0,0,
Magway,Coffee,2024-25,0,0,0,
Magway,Sugarcane,2019-20,60000,60000,1500000,
Magway,Sugarcane,2020-21,61000,61000,1520000,
Magway,Sugarcane,2021-22,60500,60500,1510000,
Magway,Sugarcane,2022-23,61500,61500,1535000,
Magway,Sugarcane,2023-24,62000,62000,1550000,
Magway,Sugarcane,2024-25,62500,62500,1560000,
Magway,Toddy_Palm,2019-20,0,0,0,
Magway,Toddy_Palm,2020-21,0,0,0,
Magway,Toddy_Palm,2021-22,0,0,0,
Magway,Toddy_Palm,2022-23,0,0,0,
Magway,Toddy_Palm,2023-24,0,0,0,
Magway,Toddy_Palm,2024-25,0,0,0,
Magway,Potato,2019-20,3000,3000,21000,
Magway,Potato,2020-21,3100,3100,21700,
Magway,Potato,2021-22,3050,3050,21350,
Magway,Potato,2022-23,3150,3150,22050,
Magway,Potato,2023-24,3200,3200,22400,
Magway,Potato,2024-25,3250,3250,22750,
Magway,Plantain,2019-20,8000,8000,12000,
Magway,Plantain,2020-21,8200,8200,12300,
Magway,Plantain,2021-22,8100,8100,12150,
Magway,Plantain,2022-23,8300,8300,12450,
Magway,Plantain,2023-24,8400,8400,12600,
Magway,Plantain,2024-25,8500,8500,12750,
Magway,Vegetables,2019-20,100000,100000,0,
Magway,Vegetables,2020-21,102000,102000,0,
Magway,Vegetables,2021-22,101000,101000,0,
Magway,Vegetables,2022-23,103000,103000,0,
Magway,Vegetables,2023-24,104000,104000,0,
Magway,Vegetables,2024-25,105000,105000,0,
Magway,Fruits,2019-20,35000,35000,0,
Magway,Fruits,2020-21,36000,36000,0,
Magway,Fruits,2021-22,35500,35500,0,
Magway,Fruits,2022-23,36500,36500,0,
Magway,Fruits,2023-24,37000,37000,0,
Magway,Fruits,2024-25,37500,37500,0,
Yangon,Tea,2019-20,0,0,0,
Yangon,Tea,2020-21,0,0,0,
Yangon,Tea,2021-22,0,0,0,
Yangon,Tea,2022-23,0,0,0,
Yangon,Tea,2023-24,0,0,0,
Yangon,Tea,2024-25,0,0,0,
Yangon,Coffee,2019-20,0,0,0,
Yangon,Coffee,2020-21,0,0,0,
Yangon,Coffee,2021-22,0,0,0,
Yangon,Coffee,2022-23,0,0,0,
Yangon,Coffee,2023-24,0,0,0,
Yangon,Coffee,2024-25,0,0,0,
Yangon,Sugarcane,2019-20,0,0,0,
Yangon,Sugarcane,2020-21,0,0,0,
Yangon,Sugarcane,2021-22,0,0,0,
Yangon,Sugarcane,2022-23,0,0,0,
Yangon,Sugarcane,2023-24,0,0,0,
Yangon,Sugarcane,2024-25,0,0,0,
Yangon,Toddy_Palm,2019-20,0,0,0,
Yangon,Toddy_Palm,2020-21,0,0,0,
Yangon,Toddy_Palm,2021-22,0,0,0,
Yangon,Toddy_Palm,2022-23,0,0,0,
Yangon,Toddy_Palm,2023-24,0,0,0,
Yangon,Toddy_Palm,2024-25,0,0,0,
Yangon,Potato,2019-20,0,0,0,
Yangon,Potato,2020-21,0,0,0,
Yangon,Potato,2021-22,0,0,0,
Yangon,Potato,2022-23,0,0,0,
Yangon,Potato,2023-24,0,0,0,
Yangon,Potato,2024-25,0,0,0,
Yangon,Plantain,2019-20,15000,15000,20000,
Yangon,Plantain,2020-21,15200,15200,20300,
Yangon,Plantain,2021-22,15100,15100,20150,
Yangon,Plantain,2022-23,15300,15300,20450,
Yangon,Plantain,2023-24,15400,15400,20600,
Yangon,Plantain,2024-25,15500,15500,20750,
Yangon,Vegetables,2019-20,150000,150000,0,
Yangon,Vegetables,2020-21,152000,152000,0,
Yangon,Vegetables,2021-22,151000,151000,0,
Yangon,Vegetables,2022-23,153000,153000,0,
Yangon,Vegetables,2023-24,154000,154000,0,
Yangon,Vegetables,2024-25,155000,155000,0,
Yangon,Fruits,2019-20,55000,55000,0,
Yangon,Fruits,2020-21,56000,56000,0,
Yangon,Fruits,2021-22,55500,55500,0,
Yangon,Fruits,2022-23,56500,56500,0,
Yangon,Fruits,2023-24,57000,57000,0,
Yangon,Fruits,2024-25,57500,57500,0,
Kachin,Tea,2019-20,15000,14000,7000,
Kachin,Tea,2020-21,15200,14200,7100,
Kachin,Tea,2021-22,15100,14100,7050,
Kachin,Tea,2022-23,15300,14300,7150,
Kachin,Tea,2023-24,15400,14400,7200,
Kachin,Tea,2024-25,15500,14500,7250,
Kachin,Coffee,2019-20,2000,1500,500,
Kachin,Coffee,2020-21,2100,1550,520,
Kachin,Coffee,2021-22,2050,1520,510,
Kachin,Coffee,2022-23,2150,1580,530,
Kachin,Coffee,2023-24,2200,1600,540,
Kachin,Coffee,2024-25,2250,1620,550,
Kachin,Sugarcane,2019-20,30000,30000,800000,
Kachin,Sugarcane,2020-21,31000,31000,820000,
Kachin,Sugarcane,2021-22,30500,30500,810000,
Kachin,Sugarcane,2022-23,31500,31500,830000,
Kachin,Sugarcane,2023-24,32000,32000,850000,
Kachin,Sugarcane,2024-25,32500,32500,860000,
Kachin,Toddy_Palm,2019-20,0,0,0,
Kachin,Toddy_Palm,2020-21,0,0,0,
Kachin,Toddy_Palm,2021-22,0,0,0,
Kachin,Toddy_Palm,2022-23,0,0,0,
Kachin,Toddy_Palm,2023-24,0,0,0,
Kachin,Toddy_Palm,2024-25,0,0,0,
Kachin,Potato,2019-20,8000,8000,50000,
Kachin,Potato,2020-21,8200,8200,51500,
Kachin,Potato,2021-22,8100,8100,50750,
Kachin,Potato,2022-23,8300,8300,52250,
Kachin,Potato,2023-24,8400,8400,53000,
Kachin,Potato,2024-25,8500,8500,53750,
Kachin,Plantain,2019-20,5000,5000,7000,
Kachin,Plantain,2020-21,5100,5100,7150,
Kachin,Plantain,2021-22,5050,5050,7075,
Kachin,Plantain,2022-23,5150,5150,7225,
Kachin,Plantain,2023-24,5200,5200,7300,
Kachin,Plantain,2024-25,5250,5250,7375,
Kachin,Vegetables,2019-20,60000,60000,0,
Kachin,Vegetables,2020-21,61000,61000,0,
Kachin,Vegetables,2021-22,60500,60500,0,
Kachin,Vegetables,2022-23,61500,61500,0,
Kachin,Vegetables,2023-24,62000,62000,0,
Kachin,Vegetables,2024-25,62500,62500,0,
Kachin,Fruits,2019-20,20000,15000,0,
Kachin,Fruits,2020-21,20500,15500,0,
Kachin,Fruits,2021-22,20250,15250,0,
Kachin,Fruits,2022-23,20750,15750,0,
Kachin,Fruits,2023-24,21000,16000,0,
Kachin,Fruits,2024-25,21250,16250,0,
Tanintharyi,Tea,2019-20,0,0,0,
Tanintharyi,Tea,2020-21,0,0,0,
Tanintharyi,Tea,2021-22,0,0,0,
Tanintharyi,Tea,2022-23,0,0,0,
Tanintharyi,Tea,2023-24,0,0,0,
Tanintharyi,Tea,2024-25,0,0,0,
Tanintharyi,Coffee,2019-20,0,0,0,
Tanintharyi,Coffee,2020-21,0,0,0,
Tanintharyi,Coffee,2021-22,0,0,0,
Tanintharyi,Coffee,2022-23,0,0,0,
Tanintharyi,Coffee,2023-24,0,0,0,
Tanintharyi,Coffee,2024-25,0,0,0,
Tanintharyi,Sugarcane,2019-20,0,0,0,
Tanintharyi,Sugarcane,2020-21,0,0,0,
Tanintharyi,Sugarcane,2021-22,0,0,0,
Tanintharyi,Sugarcane,2022-23,0,0,0,
Tanintharyi,Sugarcane,2023-24,0,0,0,
Tanintharyi,Sugarcane,2024-25,0,0,0,
Tanintharyi,Toddy_Palm,2019-20,0,0,0,
Tanintharyi,Toddy_Palm,2020-21,0,0,0,
Tanintharyi,Toddy_Palm,2021-22,0,0,0,
Tanintharyi,Toddy_Palm,2022-23,0,0,0,
Tanintharyi,Toddy_Palm,2023-24,0,0,0,
Tanintharyi,Toddy_Palm,2024-25,0,0,0,
Tanintharyi,Potato,2019-20,0,0,0,
Tanintharyi,Potato,2020-21,0,0,0,
Tanintharyi,Potato,2021-22,0,0,0,
Tanintharyi,Potato,2022-23,0,0,0,
Tanintharyi,Potato,2023-24,0,0,0,
Tanintharyi,Potato,2024-25,0,0,0,
Tanintharyi,Plantain,2019-20,12000,12000,18000,
Tanintharyi,Plantain,2020-21,12200,12200,18300,
Tanintharyi,Plantain,2021-22,12100,12100,18150,
Tanintharyi,Plantain,2022-23,12300,12300,18450,
Tanintharyi,Plantain,2023-24,12400,12400,18600,
Tanintharyi,Plantain,2024-25,12500,12500,18750,
Tanintharyi,Vegetables,2019-20,80000,80000,0,
Tanintharyi,Vegetables,2020-21,82000,82000,0,
Tanintharyi,Vegetables,2021-22,81000,81000,0,
Tanintharyi,Vegetables,2022-23,83000,83000,0,
Tanintharyi,Vegetables,2023-24,84000,84000,0,
Tanintharyi,Vegetables,2024-25,85000,85000,0,
Tanintharyi,Fruits,2019-20,30000,30000,0,
Tanintharyi,Fruits,2020-21,31000,31000,0,
Tanintharyi,Fruits,2021-22,30500,30500,0,
Tanintharyi,Fruits,2022-23,31500,31500,0,
Tanintharyi,Fruits,2023-24,32000,32000,0,
Tanintharyi,Fruits,2024-25,32500,32500,0,
Rakhine,Tea,2019-20,0,0,0,
Rakhine,Tea,2020-21,0,0,0,
Rakhine,Tea,2021-22,0,0,0,
Rakhine,Tea,2022-23,0,0,0,
Rakhine,Tea,2023-24,0,0,0,
Rakhine,Tea,2024-25,0,0,0,
Rakhine,Coffee,2019-20,0,0,0,
Rakhine,Coffee,2020-21,0,0,0,
Rakhine,Coffee,2021-22,0,0,0,
Rakhine,Coffee,2022-23,0,0,0,
Rakhine,Coffee,2023-24,0,0,0,
Rakhine,Coffee,2024-25,0,0,0,
Rakhine,Sugarcane,2019-20,0,0,0,
Rakhine,Sugarcane,2020-21,0,0,0,
Rakhine,Sugarcane,2021-22,0,0,0,
Rakhine,Sugarcane,2022-23,0,0,0,
Rakhine,Sugarcane,2023-24,0,0,0,
Rakhine,Sugarcane,2024-25,0,0,0,
Rakhine,Toddy_Palm,2019-20,0,0,0,
Rakhine,Toddy_Palm,2020-21,0,0,0,
Rakhine,Toddy_Palm,2021-22,0,0,0,
Rakhine,Toddy_Palm,2022-23,0,0,0,
Rakhine,Toddy_Palm,2023-24,0,0,0,
Rakhine,Toddy_Palm,2024-25,0,0,0,
Rakhine,Potato,2019-20,0,0,0,
Rakhine,Potato,2020-21,0,0,0,
